,User_Name,Name,Description (Status),Tweets Posted,Location,No of Followers,Device Used for Tweet,Date of Tweet Creation,No of Friends
552,PallabRoy76,Pallab,The & Paradox,"RT @KPMGIndia: #KPMGBudgetLive | With an aim to revive, reform and sustain, all efforts have been put together in #Budget2022 to boost cons…",,0,Twitter for iPhone,2022-02-07 03:35:54+00:00,4
553,TheMindBlender,The Mind Blender,"When life gets blurry,
Adjust your focus. 🙂🙃","RT @htTweets: #BudgetWithHT | ""Nothing for salaried class, middle class or the poor"" - Congress leader @RahulGandhi reacts to #Budget2022…","Delhi, India",35,Twitter for Android,2022-02-07 03:35:33+00:00,92
554,Nagpur_Santra_,Entire Political Science🏹🚜,"2002 ❤
#TeamBaan
#TeamKisan",RT @AunindyoC: How much extra income will #Budget2022 put in the hands of the average poor person? A princely sum of Rs.1 per day. That mea…,Babri Masjid,11,Twitter Web App,2022-02-07 03:34:25+00:00,38
555,Khan_SirPatna,Khan GS Research Centre (#UPSC #IAS),"Khan Sir GK 🆕 Official Twitter account,Teacher & Social Worker.

#UPSC #IAS","Highlights of #Budget2022:

5G Rollout Soon
More Budget Allocation &amp; Capex Push
Introduction of #DigitalCurrency
Ta… https://t.co/d8fTVqhMIs","Patna, India",1,Twitter for Android,2022-02-07 03:34:00+00:00,76
556,Bharat17338579,Bharat,पूर्व प्रदेश सचिव @incmp कांग्रेस सोशल मीडिया एवं आईटी विभाग (@incindia),"RT @Diya4RG: Budget 2022 
#BUDGET2022 
#Budget 
#Budget22 
#BudgetBytes","Morena, India",6895,Twitter for Android,2022-02-07 03:33:47+00:00,5180
557,yoursurajnaik,Suraj G Naik,"JaiHind... INDIAN, 
General Secretary KPCC Social Media UTTARKANNADA District

INC🇮🇳","RT @Diya4RG: Budget 2022 
#BUDGET2022 
#Budget 
#Budget22 
#BudgetBytes","Karnataka, India",10944,Twitter for Android,2022-02-07 03:33:27+00:00,9306
558,RojerNath,Rajiv Nath,Mg. Director - Hindustan Syringes & Medical Devices|Forum Coordinator- AiMeD - Association of Indian Medical Device Industry|SafePoint|Alumni - St.Columba's,"RT @Bhupendra_IAS: #Digitalization, (#NationalDigitalHealthEcosystem) is no panacea for all the national issues. Providing for healthcare n…",Delhi NCR ,3576,Twitter for iPhone,2022-02-07 03:31:11+00:00,1097
559,AnkitGu58898264,Ankit Gupta,MY name is Ankit,"RT @CoinDCX: 📢 Live Session Alert!! 📢

Join us as we discuss and break down the Crypto Tax Updates with experts from CoinDCX &amp; @BlackbyClea…",,0,Twitter for Android,2022-02-07 03:30:25+00:00,20
560,speakshoutroar,Awaaz,"Post Graduate Sociology,
PGD Child Rights Law,
PGD Consumer Law & Practices,
Alumni National Law School of Indian University,
Alumni Delhi School of Economics",RT @ashutoshpkanak: Government needs employment booster in budget instead of vaccine booster #Budget2022 #BudgetSession2022 #antivaxx,,277,Twitter for Android,2022-02-07 03:30:21+00:00,219
561,EY_India,EY India,"EY is a global leader in assurance, tax, transaction and advisory services. We make a difference by helping our clients achieve their potential.","Join us today, 7 February at 1:30 p.m. for a discussion with Kamlesh Varshney, Joint Secretary, Tax Policy, CBDT as… https://t.co/qbKtmAf86G",India,53911,Sprinklr,2022-02-07 03:30:06+00:00,193
562,ORFMumbai,ORF Mumbai,"Non–partisan, independent analyses on security, strategy, economy, development, energy & global governance| #ColabaConversation: Dec 1,2&3, 2021: https://t.co/T8CoThgdLo","While #Budget2022 has made allocations to address the challenges faced by the economy, effective implementation of… https://t.co/ZFN6PulU5d","Nariman Point, Mumbai, India",3179,TweetDeck,2022-02-07 03:30:00+00:00,44
563,orfonline,ORF,"Non–partisan, independent analyses on security, strategy, economy, development, energy and global governance.",Orderly urban #development attains criticality for national well-being and the achievement of the country’s economi… https://t.co/l9MlTrTkBg,India,106456,TweetDeck,2022-02-07 03:30:00+00:00,136
564,shaneneesehair,Shane Neese Hair Care®,Official Page of Shane Neese Hair Care®,RT @shaneneesehair: https://t.co/mjMtHcnwTZ Coming Soon #hairstylist #haircut #GroundhogDay #GangubaiOn25thFeb #DokkanBattle #Beijing2022 #…,"New York, USA ",679,Twitter for Android,2022-02-07 03:24:59+00:00,2
565,itsmeKNR,Politricks,| Political Enthusiast | Software Engineer | RT≠ Endorsement | Views & Opinions Personal | Digital Communication  | తెలుగువాడ్ని |,"RT @Diya4RG: Budget 2022 
#BUDGET2022 
#Budget 
#Budget22 
#BudgetBytes",Union of India,1449,Twitter for Android,2022-02-07 03:24:59+00:00,46
566,narendraaggrwal,नरेन्द्र अग्रवाल,मेरा देश ही मेरे लिये सब कुछ ... सत्यमेव जयते में विश्वास #Nofear,"RT @Diya4RG: Budget 2022 
#BUDGET2022 
#Budget 
#Budget22 
#BudgetBytes",,2484,Twitter for iPhone,2022-02-07 03:24:01+00:00,896
567,HashimA78635822,Hashim Ali,,"RT @IncomeTaxIndia: Budget Highlights:
Key Direct Tax proposals in Union Budget 2022. 
➡️A new section 139(8A) is proposed to be inserted,…","Gudalur, India",2,Twitter for Android,2022-02-07 03:23:57+00:00,52
568,buzzsubash,Subash Krishnan,Data storage architect@HPE. FnO Trader. Investor.,"RT @about_nav: 1/n #Economy &amp; #Financials
- #Budget2022 was one of the finest budgets presented over the years. So, well covered on that fr…",Singapore,1481,Subash Auto Tweet Bot,2022-02-07 03:21:09+00:00,117
569,SATYAMSTPI,SATYAM SINGH,,RT @arvindtw: Exclusive interview of Hon’ble MoS @GoI_MeitY Sh. @Rajeev_GoI with @TimesNow on the government’s recent announcements in #Bud…,,68,Twitter for Android,2022-02-07 03:20:18+00:00,35
570,ChetanMauryaINC,Chetan Maurya,State General Secretary - @INCUttarPradesh Social Media. Political Activist | Secular | Likes & RT's Not Endorsement.,"RT @Diya4RG: Budget 2022 
#BUDGET2022 
#Budget 
#Budget22 
#BudgetBytes",Lucknow India,6052,Twitter for Android,2022-02-07 03:20:09+00:00,1510
571,DhrubaTara10,Dhruba Tara,"Associate Fellow, Centre for Air Power Studies, New Delhi.","RT @CAPS_INDIA: **In-Focus Alert**
Air Marshal Anil Chopra (@Chopsyturvey ), DG CAPS writes on ""Defence Budget 2022-23 – Focus Aatmanirbhar…",,1,Twitter Web App,2022-02-07 03:19:57+00:00,7
572,ImandiGrace,Grace Ankitha Imandi,,"RT @yfs_india: Union Finance Minister Nirmala Sitharaman announced several climate action initiatives like energy transition, issuing of gr…",,0,Twitter for Android,2022-02-07 03:18:25+00:00,2
573,ChintuM90276194,Chintu Mehta,Coin dcx,RT @CoinDCX: Taxation of Virtual Digital Assets or Crypto is a step in the right direction. It gives much-needed clarity and confidence to…,,0,Twitter for Android,2022-02-07 03:16:57+00:00,3
574,ChintuM90276194,Chintu Mehta,Coin dcx,"RT @CoinDCX: Have a question related to today's crypto developments in the budget?
Share it with us here:  https://t.co/5uzBDz8R1R

We will…",,0,Twitter for Android,2022-02-07 03:16:48+00:00,3
575,Rajinde90657335,Rajinder Singh Babbu Bhaji,Warning..😡😠..कृपया  भाजपा के अंध भक्त किलोमीटर दूर रहें.........Please 🙏,"RT @AdvSameena786: Conclusion of #Budget2022 is shown in the picture.

Retweet if agree. https://t.co/S4qyu1NE0n",,2328,Twitter for Android,2022-02-07 03:16:25+00:00,2386
576,Manglesh55555,Manglesh Pandey,,RT @MahantMochan: #Budget2022 Rich is always rich.#Taxpayers r the real source for nation development. They should be encouraged.,"वाराणसी, भारत",1,Twitter for Android,2022-02-07 03:15:50+00:00,13
577,ohh_booh,Akanksha Saini,"I love imagine fake scenarios to fit with my playlist.👽👾
CA aspirant | Chai♡☕| Painting |
IG : https://t.co/nsw0n6WA8D",RT @BimalGST: #Budget2022 - Transfer of IGST &amp; CGST deposited and balance lying in e-cash Ledger of one Distinct Person to e-cash Ledger of…,India,1071,Twitter for Android,2022-02-07 03:15:20+00:00,545
578,orfonline,ORF,"Non–partisan, independent analyses on security, strategy, economy, development, energy and global governance.",Never before has a #UnionBudget been presented with a future planning for next 25 years. With the world going throu… https://t.co/lFTuSEMczW,India,106456,TweetDeck,2022-02-07 03:15:00+00:00,136
579,ORFMumbai,ORF Mumbai,"Non–partisan, independent analyses on security, strategy, economy, development, energy & global governance| #ColabaConversation: Dec 1,2&3, 2021: https://t.co/T8CoThgdLo",The core strategy of #Budget2022 is to significantly intensify government spending with focus on asset creation &amp; j… https://t.co/s1i0QPa0Jp,"Nariman Point, Mumbai, India",3179,TweetDeck,2022-02-07 03:15:00+00:00,44
580,drarya16,dr.arya,,"RT @stpiindia: #STPIUPDATE: Glimpses of Sh. Arvind Kumar, DG, #STPIINDIA sharing thoughts on #Budget2022 on @News18India, addressing at a w…","NOIDA, U.P. India",29,Twitter for Android,2022-02-07 03:13:07+00:00,34
581,ChintuM90276194,Chintu Mehta,Coin dcx,"RT @CoinDCX: 📢 Live Session Alert!! 📢

Join us as we discuss and break down the Crypto Tax Updates with experts from CoinDCX &amp; @BlackbyClea…",,0,Twitter for Android,2022-02-07 03:11:53+00:00,3
582,shakil_tigala,Shakil Tigala,Businessman,"RT @nsui: Nothing for Students,
Nothing for a jobless youth, 
Nothing for farmers..
Nothing for middle class..
Again Modi govt Fails..
#Bud…",,10,Twitter for Android,2022-02-07 03:10:16+00:00,17
583,myrajohnston65,mj,Enjoys travel/live music/photography/wine & food/socializing with friends and family/Pipes & Drums,Write a letter to Minister Joly asking her to do all she can to make sure global vaccine equity for #COVID is centr… https://t.co/6QYjE8jUIr,"London, Ontario",47,Twitter for iPhone,2022-02-07 03:07:35+00:00,104
584,deepakvns2007,Deepak Agrawal,"हिन्दू हूं पर भाजपाई हिन्दू नहीं हूं
मेरे ट्वीट्स मेरे विचार
री ट्वीट्स सिर्फ रीट्वीटस
दूसरे के विचारों का अनुमोदन नही","RT @Diya4RG: Budget 2022 
#BUDGET2022 
#Budget 
#Budget22 
#BudgetBytes","Varanasi, India",3512,Twitter for Android,2022-02-07 03:06:14+00:00,1451
585,iamteja_8,Tejaaaa,"ISFP- T▪️Research Analyst▪️Books▪️ Cricket▪️Foodie▪️Movies

📍Hyderabad
🇮🇳 India","RT @BloombergQuint: The government does not want to create an out-of-control consumption boom, says S Naren. #Budget2022

https://t.co/Y5aQ…",Twitterspaces,246,Twitter for Android,2022-02-07 03:03:17+00:00,1672
586,bsindia,Business Standard,"Latest news on the economy, companies, markets, politics and technology from India's leading business daily.",#BSMornnigShow | Business Standard’s @aruproytweets and @Armilu spoke to Revenue Secretary Tarun Bajaj to know abou… https://t.co/9DEOY8sSMd,India,2178283,TweetDeck,2022-02-07 03:02:21+00:00,430
587,ShivanshBhalla,CA Shivansh Bhalla,,"RT @CaSondagar: Virtual Digital Assets
#IncomeTax and #TDS as per #Budget2022 https://t.co/KbAId1EDUt",,19,Twitter for iPhone,2022-02-07 03:02:19+00:00,296
588,AdityaS11996348,Aditya Sharma,Banker at BOI,RT @batrasanjiv: Shocking! FM answers a question in a presser why middle class not given IT relief? She replies sadistically that be thankf…,,791,Twitter for Android,2022-02-07 03:02:02+00:00,877
589,AdityaS11996348,Aditya Sharma,Banker at BOI,"RT @idesibanda: Surgical Strike on Middle Class!

#IncomeTax #Budget2022",,791,Twitter for Android,2022-02-07 03:01:05+00:00,877
590,rashwini608,Ashwin Rajput,"Man on mission - to live the best life possible come what way.
Website developer at energy solution Pvt. Limited Company
Dog lover",RT @EODB_IN: #Budget2022 has successfully proven to be minimising state and citizen interface on income tax by allowing taxpayers to file U…,,35,Twitter for Android,2022-02-07 03:00:35+00:00,569
591,ORFMumbai,ORF Mumbai,"Non–partisan, independent analyses on security, strategy, economy, development, energy & global governance| #ColabaConversation: Dec 1,2&3, 2021: https://t.co/T8CoThgdLo",The data monitoring systems of District Mental Health Programme &amp; the overall umbrella NMH Programme need to be rob… https://t.co/AkEs7Fh3JX,"Nariman Point, Mumbai, India",3179,TweetDeck,2022-02-07 03:00:02+00:00,44
592,ORFKolkata,ORF Kolkata,"Non–partisan, independent analyses on security, strategy, economy, development, energy & global governance.","Set upon four principal pillars, this year’s budget attempts to reestablish India’s commitment towards the Sustaina… https://t.co/fBZ8ArZ8Tt","Kolkata, India",71,TweetDeck,2022-02-07 03:00:01+00:00,45
593,Lalith43324181,Lalith@9999,DIE HARD FAN OF @tarak9999,"RT @EbixCash: Catch exclusive views of Robin Raina, Chairman - EbixCash on TV9 BharatVarsh as he analyses various aspects of the Budget 202…","Guntur,AP",378,Twitter for Android,2022-02-07 03:00:00+00:00,576
594,rashwini608,Ashwin Rajput,"Man on mission - to live the best life possible come what way.
Website developer at energy solution Pvt. Limited Company
Dog lover",RT @Abhijeet_Sinhaa: This #Budget2022 where government will also give $6 billion in incentives to companies to build clean vehicles and pro…,,35,Twitter for Android,2022-02-07 02:59:10+00:00,569
595,BloombergQuint,BloombergQuint,"#India’s premier multi-platform #business and financial #news company.

#BQBlue queries: support@bloombergquint.com
Follow: https://t.co/pcVoAnSQnm","The government does not want to create an out-of-control consumption boom, says S Naren. #Budget2022

https://t.co/Y5aQfQplMK","Mumbai, India",274351,TweetDeck,2022-02-07 02:58:03+00:00,131
596,manjeetkaur_,Manjeet Kaur ਮਨਜੀਤ ਕੌਰ,"Am grateful to ALMIGHTY & UNIVERSE for their unconditional love ,blessings & for everything everyone surrounding me to illuminate my path 🌌🌈💓","RT @Kisanektamorcha: For the first time in 6 years, the Budget speech did not even mention the promise of Doubling of Farmers Income by 202…",India,21212,Twitter for Android,2022-02-07 02:57:23+00:00,746
597,NarkedimilliSai,Sai pavan Narkedimilli🇮🇳,Student of ICAI,"RT @GiridharMamidi: My 37th #GlobalRoundUp with @sai_nationalist on @NationalistHub

1.Robust #MakeInIndia #Defence procurement in #Budget2…",Ambajipeta,59,Twitter for Android,2022-02-07 02:57:14+00:00,166
598,Divyanshi449,Divyanshi Singh,ᵈᵒⁿ'ᵗ ᵈⁱˢᵃᵖᵖᵉᵃʳ. ᵇᵉᶜᵃᵘˢᵉ ʸᵒᵘ ᵃʳᵉ ᵃⁿ ⁱᵐᵖᵒʳᵗᵃⁿᵗ ᵉˣⁱˢᵗᵉⁿᶜᵉ,"RT @BloombergQuint: #Budget2022 turned out to be a non-event for the stock market and equities are volatile for a different set of reasons,…","New Delhi, India 🇮🇳",644,Twitter for Android,2022-02-07 02:56:23+00:00,1198
599,suraagsubhedar,Suraag,Singer-songwriter for the band Left Turn. LFC fan. Debut EP ‘IRADA’ Out Now!! 👇,"RT @CaSondagar: Virtual Digital Assets
#IncomeTax and #TDS as per #Budget2022 https://t.co/KbAId1EDUt","Mumbai, India",655,Twitter for iPad,2022-02-07 02:56:18+00:00,797
600,BloombergQuint,BloombergQuint,"#India’s premier multi-platform #business and financial #news company.

#BQBlue queries: support@bloombergquint.com
Follow: https://t.co/pcVoAnSQnm",#Budget2022 turned out to be a non-event for the stock market and equities are volatile for a different set of reas… https://t.co/4Z7quAC6Cw,"Mumbai, India",274351,TweetDeck,2022-02-07 02:55:42+00:00,131
601,RajivSi27724146,Rajiv Singh,"Internet specialist. Explorer. Professional entrepreneur.
fan of @msdhoni
Never give up.",RT @Abhijeet_Sinhaa: This #Budget2022 where government will also give $6 billion in incentives to companies to build clean vehicles and pro…,,2,Twitter for Android,2022-02-07 02:53:32+00:00,130
602,AnitaSh59778340,Anita Sharma,,"RT @RailMinIndia: Watch the highlights of the ‘Record Breaking #Budget2022'

#AatmaNirbharBharatKaBudget will help bring in new opportuniti…",,7,Twitter for Android,2022-02-07 02:52:07+00:00,1
603,Lochan28109147,Lochan,,"RT @stpiindia: #STPIUPDATE: Glimpses of Sh. Arvind Kumar, DG, #STPIINDIA sharing thoughts on #Budget2022 on @News18India, addressing at a w…",,1,Twitter for Android,2022-02-07 02:50:42+00:00,43
604,frontline_india,Frontline,"India's National Magazine. From @the_hindu Group of Publications.

Subscribe to Frontline https://t.co/lhP7aJZUOm

Follow us on Instagram https://t.co/lpf1keUmEN",COLUMN | That was an opportunity #Budget2022 let pass. In tone &amp; substance it reflected an absence of intent to do… https://t.co/gKiimX4QQa,Chennai,46336,TweetDeck,2022-02-07 02:50:00+00:00,7
605,nikhil12131,nikhil pailwan,Chartered Accountant | Life=friends n music | In search of self | Follower of Sri Sri :),"RT @CaSondagar: Virtual Digital Assets
#IncomeTax and #TDS as per #Budget2022 https://t.co/KbAId1EDUt","Sangli, India",257,Twitter for Android,2022-02-07 02:49:14+00:00,410
606,Turakhia4Yuvraj,Yuvraj Turakhia,,"RT @iamyash76: #UnionBudget reflects India's commitment on 'green future': #PMModi
https://t.co/GcH0tIbSyn

#Budget2022 #NaMoApp https://t.…","England, United Kingdom",1275,Twitter for iPhone,2022-02-07 02:48:18+00:00,5000
607,kashyap286,Kashyap Sriram,"Against All Odds Research| Ex - Independent Speculator, The Dollar Vigilante, Value Research Online. Gold, shipping, uranium, crypto and other niche markets.",Indian Finance Min: Blending of fuel is a priority of this Government... unblended fuel shall attract an additional… https://t.co/UPyZ2BLnKX,India,72,Twitter Web App,2022-02-07 02:47:25+00:00,105
608,SarwarA53358307,Sarwar Alam,INTTUC,"RT @aitcRicky: #Budget2022 explained in 8 secs by @AmitShah
@MahuaMoitra @abhishekaitc
@MamataOfficial @IndiaWantsMB
@aitcsupriya
@aitcsudi…",,282,Twitter for Android,2022-02-07 02:46:03+00:00,1488
609,SarwarA53358307,Sarwar Alam,INTTUC,"RT @amitmod68022395: Not only is #Budget2022 anti-people, its weakening the country on the insides, every passing quarter. We need solution…",,282,Twitter for Android,2022-02-07 02:45:48+00:00,1488
610,BloombergQuint,BloombergQuint,"#India’s premier multi-platform #business and financial #news company.

#BQBlue queries: support@bloombergquint.com
Follow: https://t.co/pcVoAnSQnm","Lack of clarification on the tax issue around Fully Accessible Route bonds in #Budget2022, disappointed Ridham Desa… https://t.co/MeHGHJvJVK","Mumbai, India",274351,TweetDeck,2022-02-07 02:45:34+00:00,131
611,ORFMumbai,ORF Mumbai,"Non–partisan, independent analyses on security, strategy, economy, development, energy & global governance| #ColabaConversation: Dec 1,2&3, 2021: https://t.co/T8CoThgdLo",Forced spending on domestic industry—though laudable in intent—is unlikely to create the industrial ecosystem withi… https://t.co/wzsjvlGTP1,"Nariman Point, Mumbai, India",3179,TweetDeck,2022-02-07 02:45:00+00:00,44
612,SarwarA53358307,Sarwar Alam,INTTUC,"RT @DidiForPM: Not only is #Budget2022 anti-people, its weakening the country on the insides, every passing quarter. We need solutions to o…",,282,Twitter for Android,2022-02-07 02:44:43+00:00,1488
613,MeenaTarunYadav,Meena Tarun Yadav,"Councillor,  Najafgarh Ward 43s || Deputy Chairman Najafgarh Zone Of SDMC","RT @adeshguptabjp: Union Minister @byadavbjp ji addressed Intellectual’s meet on #AatmaNirbharBharatKaBudget.

@narendramodi govt's #Budget…","नई दिल्ली, भारत",8418,Twitter Web App,2022-02-07 02:42:06+00:00,6031
614,buzzsubash,Subash Krishnan,Data storage architect@HPE. FnO Trader. Investor.,"RT @uditth_daas: Global Markets Update 
#ASX #banknifty #BSE #Budget2022 #CrudeOil #daytrading #DowJones #DXY #FederalReserve #INTRADAY #in…",Singapore,1481,Subash Auto Tweet Bot,2022-02-07 02:40:11+00:00,117
615,CNBCTV18News,CNBC-TV18,"Follow business news with India's Leading Business News Channel, CNBC-TV18. For more updates, follow @CNBCTV18Live.

Telegram: https://t.co/OggDVMbmdE",India Inc On #Budget2022 | CNBC-TV18 spoke with Sunil Kant Munjal at the CII summit over the weekend and asked him… https://t.co/lYhtBvVvTe,,1018333,Twitter Media Studio - LiveCut,2022-02-07 02:39:19+00:00,178
616,EVTechNews,EV Tech News,The official EV Tech News (https://t.co/duFAtoHZUs) Twitter. Your one stop source to all latest auto news and stories from the world of Electric Vehicles and technologies,"#BUDGET2022 SERIES - Amitabh Saran, Founder &amp; CEO, Altigreen Propulsion Labs, shares his insight on the… https://t.co/h66ho2dyNn",,47,Twitter Web App,2022-02-07 02:38:30+00:00,41
617,ORFKolkata,ORF Kolkata,"Non–partisan, independent analyses on security, strategy, economy, development, energy & global governance.","While #Budget2022 has made allocations to address the challenges faced by the economy, effective implementation of… https://t.co/BbB4ZCfdhw","Kolkata, India",71,TweetDeck,2022-02-07 02:38:00+00:00,45
618,SushmaKS2,Sushma K S,,"RT @stpiindia: #STPIUPDATE: Glimpses of Sh. Arvind Kumar, DG, #STPIINDIA sharing thoughts on #Budget2022 on @News18India, addressing at a w…",,97,Twitter for Android,2022-02-07 02:37:48+00:00,28
619,SushmaKS2,Sushma K S,,RT @arvindtw: Exclusive interview of Hon’ble MoS @GoI_MeitY Sh. @Rajeev_GoI with @TimesNow on the government’s recent announcements in #Bud…,,97,Twitter for Android,2022-02-07 02:37:47+00:00,28
620,CaSondagar,Taxation Updates 📊,"Official account of CA Mayur J Sondagar
@casondagar Tweets are personal/Retweet ≠ endorsement 🇮🇳🇮🇳🇮🇳","RT @CaSondagar: Virtual Digital Assets
#IncomeTax and #TDS as per #Budget2022 https://t.co/KbAId1EDUt","Mumbai, India",8738,Twitter for Android,2022-02-07 02:37:46+00:00,47
621,about_nav,AllAboutNAV,"The probability of a stock going up or down is 50%. So, don't bother who can't get it right 8 or 9 out of 10. Tweets are self referential.","1/n #Economy &amp; #Financials
- #Budget2022 was one of the finest budgets presented over the years. So, well covered o… https://t.co/Nd0WrFlHyx",,11,Twitter Web App,2022-02-07 02:37:15+00:00,4
622,JeeGarimaa,GARIMA,"Staunch Congress Supporter||
Strongly Influenced by late PM Smt.Indira Gandhi||
Anti Fascist|| 
RT__Not Endorsements","RT @Diya4RG: Budget 2022 
#BUDGET2022 
#Budget 
#Budget22 
#BudgetBytes","New Delhi ,  India",7056,Twitter for Android,2022-02-07 02:37:08+00:00,1377
623,Puneet__1,Puneet Kumar Singh,इस धरती को स्वर्ग बनाना है,RT @SatlokChannel: On 1st February 2022 #Budget2022 was released in the houses of the parliament by respected Union Finance Minister #Nirma…,,241,Twitter for Android,2022-02-07 02:37:00+00:00,226
624,buzzsubash,Subash Krishnan,Data storage architect@HPE. FnO Trader. Investor.,"RT @imbedwal: Monday market 07-feb-2022

#Nifty #beststocks #sensex #nifty50 #Niftybank #NIFTYFUTURE #Budget2022 #StocksToBuy
#trading #ban…",Singapore,1481,Subash Auto Tweet Bot,2022-02-07 02:34:46+00:00,117
625,_imnazim,Professor,"My tweets are my perspective of life.
#AntiFascist #Activist #Engineer #Educator #Writer #Blogger #TechnoFreak
RTs≠Endorsements","RT @Diya4RG: Budget 2022 
#BUDGET2022 
#Budget 
#Budget22 
#BudgetBytes",,5069,Twitter for Android,2022-02-07 02:33:31+00:00,2774
626,rainageetika5,गीतिका,Congress warrior! Krishna devotee! Constant learner! RTs not endorsements. Email your views on rainageetika5@gmail.com,"RT @Diya4RG: Budget 2022 
#BUDGET2022 
#Budget 
#Budget22 
#BudgetBytes",,558,Twitter for Android,2022-02-07 02:33:01+00:00,615
627,RajeshS17442647,Rajesh Saha,@BJYM Tripura State Secretary,"RT @Sunil_Deodhar: #Budget2022 tackles two very significant issues of contemporary India, Growth &amp; its twin, welfare.

It is an inclusive,…","Tripura, India",419,Twitter for Android,2022-02-07 02:32:14+00:00,418
628,RajeshS17442647,Rajesh Saha,@BJYM Tripura State Secretary,"RT @Sunil_Deodhar: #Budget2022 is going to be a milestone for the cooperative, Agri-startups &amp; allied agriculture sectors.

The kind of hol…","Tripura, India",419,Twitter for Android,2022-02-07 02:31:18+00:00,418
629,RajeshS17442647,Rajesh Saha,@BJYM Tripura State Secretary,"RT @Sunil_Deodhar: The backbone of budget 🔥

• PM Gati Shakti
• Inclusive Development
• Productivity Enhancement &amp; Investment, Sunrise Oppo…","Tripura, India",419,Twitter for Android,2022-02-07 02:31:08+00:00,418
630,RajeshS17442647,Rajesh Saha,@BJYM Tripura State Secretary,"RT @Sunil_Deodhar: The Union #Budget2022 is a booster shot for a speedy recovery.

Read what Union Minister @JM_Scindia has to say in this…","Tripura, India",419,Twitter for Android,2022-02-07 02:31:06+00:00,418
631,RajeshS17442647,Rajesh Saha,@BJYM Tripura State Secretary,"RT @Sunil_Deodhar: PM @narendramodi ji is committed to reducing imports and promoting self-reliance in equipment for the armed forces:-

-…","Tripura, India",419,Twitter for Android,2022-02-07 02:31:03+00:00,418
632,RajeshS17442647,Rajesh Saha,@BJYM Tripura State Secretary,"RT @Sunil_Deodhar: Key highlights of PM @narendramodi's 'New India' #Budget2022

Parvat Mala Scheme - The Game Changer in the Hills. 

It'l…","Tripura, India",419,Twitter for Android,2022-02-07 02:30:57+00:00,418
633,hardcorerahul,r@hulz,"Guwahati, Assam-》 Bangalore 
(Software Engineer)",RT @_tanveersheikh: Supriya ji giving befitting and fiery reply to unofficial bjp spokesperson Rubika liyaqat who doesn't understand the di…,"Bengaluru South, India",123,Twitter for Android,2022-02-07 02:30:52+00:00,2200
634,BloombergQuint,BloombergQuint,"#India’s premier multi-platform #business and financial #news company.

#BQBlue queries: support@bloombergquint.com
Follow: https://t.co/pcVoAnSQnm","FM Nirmala Sitharaman has said #Budget2022's healthy capex spend will boost growth through a multiplier effect.

https://t.co/5VWAHQ7mLC","Mumbai, India",274351,TweetDeck,2022-02-07 02:30:00+00:00,131
635,bsindia,Business Standard,"Latest news on the economy, companies, markets, politics and technology from India's leading business daily.",#BSMornnigShow | Will #RBI go for a hike in reverse repo rate? What is Tarun Bajaj’s take on revenue estimates? Wha… https://t.co/0Ty0UpuBJ3,India,2178283,TweetDeck,2022-02-07 02:30:00+00:00,430
636,SystematixGrp,Systematix Group,"The Systematix Group, established in 1985, we are one of the leading broking house providing investment management & advisory services in the financial markets.","#Systematix #DailyTechnicalCall: Buy United Breweries Ltd

Join our #Telegramchannel for more #StockMarketindia upd… https://t.co/TTT7RsVELq",India,440,Twitter Web App,2022-02-07 02:30:00+00:00,186
637,ColabaConvo,Colaba Conversation,"Mumbai’s signature forum on international policy issues affecting the city, the nation & the world. Hosted by @orfmumbai | Dec 1-3, 2021 | view: https://t.co/Zw0VFJf7tX","While #Budget2022 creates the perception of having addressed the crucial problems confronting the economy, there ar… https://t.co/3EgaESMtpw",Mumbai,926,TweetDeck,2022-02-07 02:30:00+00:00,15
638,NManjun46628216,NManjunatha,,RT @arvindtw: Exclusive interview of Hon’ble MoS @GoI_MeitY Sh. @Rajeev_GoI with @TimesNow on the government’s recent announcements in #Bud…,"Bengaluru, India",47,Twitter for Android,2022-02-07 02:29:13+00:00,105
639,imbedwal,Ashok Bedwal,"#b'day 4/October 🎂
Like to play CCC
means
cricket, chess and cube puzzle","Monday market 07-feb-2022

#Nifty #beststocks #sensex #nifty50 #Niftybank #NIFTYFUTURE #Budget2022 #StocksToBuy… https://t.co/Y0BM90w8jD","ALWAR, RAJASTHAN",97,Twitter for Android,2022-02-07 02:26:44+00:00,45
640,GANESHM_STPI,Ganesh M,,RT @arvindtw: Exclusive interview of Hon’ble MoS @GoI_MeitY Sh. @Rajeev_GoI with @TimesNow on the government’s recent announcements in #Bud…,Bangalore ,50,Twitter for Android,2022-02-07 02:24:32+00:00,39
641,guriyak38108887,guriya kumari,Student,"RT @electronquality: #middleclass #Budget2022 #Budget #BudgetSession2022

Modi to middle class every year.
Listen carefully 👇 https://t.co/…",,8,Twitter for Android,2022-02-07 02:24:25+00:00,47
642,Amit70863083,Amit,,"RT @CoinDCX: 📢 Live Session Alert!! 📢

Join us as we discuss and break down the Crypto Tax Updates with experts from CoinDCX &amp; @BlackbyClea…",,5,Twitter for Android,2022-02-07 02:21:47+00:00,70
643,VIGNESHGOUD26,VIGNESH GØUD,GOUD'S❤️🚩,"RT @_Prashanth_23: During this epidemic, the BJP government's budget reduced corporate taxes and customs duties on gems without giving inco…",,5,Twitter for Android,2022-02-07 02:21:04+00:00,7
